road,model_type,condition,name,lat,lon,length,chainage,road name2
N1,bridge,A,GASBAREA COLLEGE BOX CULVERT,22.2171388888888,92.0282222222222,9.2,274.66,
N1,bridge,D,Mazar Point Bridge,22.2622222,92.0070556,50.8,275.943,
N1,bridge,B,KHOLGHAR CUL,22.2060833333333,92.0370277777777,9.2,276.281,
N1,bridge,B,NOYARHAT,22.17525,92.0528611111111,12.3,280.299,
N1,bridge,C,SANGO BRIDGE DOMAJAR,22.1598611111111,92.0674444444444,211.3,282.994,
N1,bridge,A,KATGOR CULVERT,22.1509444444444,92.0695277777777,9.2,284.134,
N1,bridge,A,MOULOVER DOKAN,22.1379722222222,92.0697222222222,12.4,285.58,
N1,bridge,A,PATATR PULL CULVERT,22.1334722222222,92.0700277777777,15.4,286.08,
N1,bridge,A,PATANER PULL(BRIDGE),22.1306666666666,92.0704722222222,34.6,286.378,
N1,bridge,A,NOYAKHALAR MUK,22.1277222222222,92.0711111111111,28.0,286.631,
N1,bridge,A,NOYAKHALARMUK,22.1238611111111,92.0717222222222,15.4,287.144,
N1,bridge,A,NOYA KHALAR MUK (KARANIERHAT) BOX CULVERT,22.1206388888888,92.072,20.4,287.487,
N1,bridge,A,KARANERHAT CULVERT,22.1131944444444,92.0727222222222,5.0,288.329,
N1,bridge,A,KARANERHAT CULVERT,22.0996388888888,92.0744444444444,7.2,289.889,
N1,bridge,A,KOACHIA(MADARBHI),22.0939166666666,92.0795833333333,11.2,290.719,
N1,bridge,A,MITADIGI ACADEMY,22.0845,92.0925555555555,2.0,292.426,
N1,bridge,A,MITADIGI,22.0811388888888,92.0985277777777,12.6,293.134,
N1,bridge,A,RAJGHATA BRIDGE,22.07,92.1039166666666,30.3,294.534,
N1,bridge,A,THAKUR DIGI BOX CULVERT,22.0685277777777,92.1056388888888,2.0,294.77,
N1,bridge,A,KHORIANAGAR BRIDGE,22.0643333333333,92.1071388888888,38.8,295.295,
N1,bridge,A,NOYA PARA BOX CULVERT,22.06125,92.1077777777777,2.5,295.625,
