road,id,model_type,name,lat,lon,length,condition
N1,1000079,bridge,bridge 40,23.5557082901265,90.6597414245569,29.85,A
N1,1000080,link,link 40,31.472,31.472,0.0,
N1,1000081,bridge,bridge 41,23.5557082901265,90.6597414245569,29.83,A
N1,1000082,link,link 41,31.472,31.472,0.0,
N1,1000083,bridge,bridge 42,23.5557082901265,90.6597414245569,29.0,A
N1,1000084,link,link 42,31.472,31.472,0.0,
N1,1000085,bridge,bridge 43,23.5557082901265,90.6597414245569,29.0,A
N1,1000086,link,link 43,31.472,31.472,0.6490000000000009,
N1,1000087,bridge,bridge 44,23.5517421907216,90.6643538752577,29.87,A
N1,1000088,link,link 44,32.121,32.121,0.0,
N1,1000089,bridge,bridge 45,23.5517421907216,90.6643538752577,29.9,A
N1,1000090,link,link 45,32.121,32.121,0.0,
N1,1000091,bridge,bridge 46,23.5517421907216,90.6643538752577,28.9,A
N1,1000092,link,link 46,32.121,32.121,0.0,
N1,1000093,bridge,bridge 47,23.5517421907216,90.6643538752577,28.9,A
N1,1000094,link,link 47,32.121,32.121,0.6559999999999988,
N1,1000095,bridge,bridge 48,23.5477377446428,90.6690554098214,9.1,A
N1,1000096,link,link 48,32.777,32.777,0.01899999999999835,
N1,1000097,bridge,bridge 49,23.5476246437499,90.669192065625,5.2,A
N1,1000098,link,link 49,32.796,32.796,0.7950000000000017,
N1,1000099,bridge,bridge 50,23.54268543125,90.6748292125,72.49,A
N1,1000100,link,link 50,33.591,33.591,0.0,
N1,1000101,bridge,bridge 51,23.54268543125,90.6748292125,59.2,A
N1,1000102,link,link 51,33.591,33.591,0.0,
N1,1000103,bridge,bridge 52,23.54268543125,90.6748292125,70.0,A
N1,1000104,link,link 52,33.591,33.591,0.0,
N1,1000105,bridge,bridge 53,23.54268543125,90.6748292125,59.83,A
N1,1000106,link,link 53,33.591,33.591,1.5899999999999963,
N1,1000107,bridge,bridge 54,23.5327751898617,90.6858701078341,9.5,A
N1,1000108,link,link 54,35.181,35.181,0.22700000000000387,
N1,1000109,bridge,bridge 55,23.5313996605222,90.68744892596,25.45,A
N1,1000110,link,link 55,35.408,35.408,0.0,
N1,1000111,bridge,bridge 56,23.5313996605222,90.68744892596,25.45,A
N1,1000112,link,link 56,35.408,35.408,0.2989999999999995,
N1,1000113,bridge,bridge 57,23.5301519626506,90.6897951837349,8.4,A
N1,1000114,link,link 57,35.707,35.707,1.3029999999999973,
N1,1000115,bridge,bridge 58,23.5303844733,90.7024402743,1408.8,A
N1,1000116,link,link 58,37.01,37.01,11.374000000000002,
N1,1000117,bridge,bridge 59,23.5318234765,90.8110155135,15.9,A
N1,1000118,link,link 59,48.384,48.384,2.1739999999999995,
N1,1000119,bridge,bridge 60,23.5329743291,90.8309774761999,12.2,A
N1,1000120,link,link 60,50.558,50.558,12.979999999999997,
N1,1000121,bridge,bridge 61,23.5013551924,90.9473844088999,3.0,A
N1,1000122,link,link 61,63.538,63.538,4.5020000000000095,
N1,1000123,bridge,bridge 62,23.4932728146,90.9887200416,4.5,A
N1,1000124,link,link 62,68.04,68.04,8.440999999999988,
N1,1000125,bridge,bridge 63,23.480613086,91.0674097692,1.5,A
N1,1000126,link,link 63,76.481,76.481,5.956000000000003,
N1,1000127,bridge,bridge 64,23.4794083880733,91.1238920825688,1.4,A
N1,1000128,link,link 64,82.437,82.437,0.5520000000000067,
N1,1000129,bridge,bridge 65,23.479544924,91.129047144,2.9,A
N1,1000130,link,link 65,82.989,82.989,4.7239999999999895,
N1,1000131,bridge,bridge 66,23.4436339598272,91.1493668151188,23.4,A
N1,1000132,link,link 66,87.713,87.713,9.544000000000011,
N1,1000133,bridge,bridge 67,23.3976518197887,91.2234221346859,27.9,A
N1,1000134,link,link 67,97.257,97.257,3.6809999999999974,
N1,1000135,bridge,bridge 68,23.3713647755,91.2450175414999,30.48,A
N1,1000136,link,link 68,100.938,100.938,0.0,
N1,1000137,bridge,bridge 69,23.3713647755,91.2450175414999,30.4,A
N1,1000138,link,link 69,100.938,100.938,3.8149999999999977,
N1,1000139,bridge,bridge 70,23.342671472,91.264485636,14.3,A
N1,1000140,link,link 70,104.753,104.753,1.7660000000000053,
N1,1000141,bridge,bridge 71,23.3301462324,91.2748792824,24.0,A
N1,1000142,link,link 71,106.519,106.519,1.6059999999999945,
N1,1000143,bridge,bridge 72,23.3180696869138,91.2830867321701,9.2,A
N1,1000144,link,link 72,108.125,108.125,2.426000000000002,
N1,1000145,bridge,bridge 73,23.2979675271676,91.2910141369942,3.2,A
N1,1000146,link,link 73,110.551,110.551,0.9579999999999984,
N1,1000147,bridge,bridge 74,23.2897066386454,91.2929584711155,13.4,A
N1,1000148,link,link 74,111.509,111.509,6.117999999999995,
N1,1000149,bridge,bridge 75,23.2397920309669,91.3125740860465,2.6,A
N1,1000150,link,link 75,117.627,117.627,0.42200000000001125,
N1,1000151,bridge,bridge 76,23.2360759516523,91.3129901976744,2.5,A
N1,1000152,link,link 76,118.049,118.049,1.5789999999999935,
N1,1000153,bridge,bridge 77,23.2220338977777,91.3137005933333,6.0,A
N1,1000154,link,link 77,119.628,119.628,1.938999999999993,
N1,1000155,bridge,bridge 78,23.2050386287937,91.3163167282749,6.1,A
N1,1000156,link,link 78,121.567,121.567,1.0360000000000014,
